input1_x,input1_y,input1_z,input2_x,input2_y,input2_z,p_x,p_y,p_z,p_c
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-468.82697,-441.60956,95.17127,182.16861
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-475.34897,-441.41272,90.94085,183.88515
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-473.01526,-441.30438,92.04827,184.0247
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-474.34793,-439.58743,90.08973,184.1791
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-469.5836,-439.53754,93.19959,182.16353
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-471.9665,-436.29123,92.69874,181.05559
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-470.9195,-439.01437,92.97523,181.89131
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-473.13522,-437.49512,91.91561,181.65616
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-473.70255,-439.37567,90.817955,182.23589
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-469.90503,-438.4002,92.97161,181.90013
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-470.62015,-439.30707,93.23896,181.16325
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-471.299,-438.4554,91.72205,182.41188
-202.1344372,-820.1284161,48.65856089,-187.3896689,-540.0585433,97.05041421,-216.59293,-380.68628,79.32668,167.26646
-202.1344372,-820.1284161,48.65856089,-187.3896689,-540.0585433,97.05041421,-218.21736,-381.50223,79.113625,167.25385
-202.1344372,-820.1284161,48.65856089,-187.3896689,-540.0585433,97.05041421,-218.44557,-379.11612,79.58793,173.82419
-202.1344372,-820.1284161,48.65856089,-187.3896689,-540.0585433,97.05041421,-215.87955,-381.13214,79.52407,167.16876
-202.1344372,-820.1284161,48.65856089,-187.3896689,-540.0585433,97.05041421,-214.78828,-379.5473,79.80865,166.9192
-202.1344372,-820.1284161,48.65856089,-187.3896689,-540.0585433,97.05041421,-215.83397,-381.5007,78.520515,167.67647
-202.1344372,-820.1284161,48.65856089,-187.3896689,-540.0585433,97.05041421,-215.16995,-382.39154,78.89831,164.32439
-202.1344372,-820.1284161,48.65856089,-187.3896689,-540.0585433,97.05041421,-218.84384,-380.35272,78.849434,169.14687
-202.1344372,-820.1284161,48.65856089,-187.3896689,-540.0585433,97.05041421,-217.40042,-380.88568,80.872246,169.427
-202.1344372,-820.1284161,48.65856089,-187.3896689,-540.0585433,97.05041421,-223.12463,-379.66278,80.13529,173.69492
-202.1344372,-820.1284161,48.65856089,-187.3896689,-540.0585433,97.05041421,-217.6741,-382.35324,79.21166,170.25589
-202.1344372,-820.1284161,48.65856089,-187.3896689,-540.0585433,97.05041421,-220.95798,-379.50183,80.28828,179.36018
-202.1344372,-820.1284161,48.65856089,-187.3896689,-540.0585433,97.05041421,-221.20428,-382.53604,81.60041,167.0548
